Run,Validation Loss,Extrapolation Validation Loss,Parameter
stoic-sweep-90,0.2916773855686188,0.6452800035476685,957
logical-sweep-89,9.136240259977058e-05,0.7025783658027649,644
helpful-sweep-88,1.3201525689510165e-05,0.09940005838871002,369
astral-sweep-87,7.178326086432207e-06,0.24386870861053467,528
dark-sweep-86,3.863155870931223e-05,0.4157273471355438,586
good-sweep-84,0.00019994762260466817,0.3132508397102356,955
young-sweep-85,3.0216482628020455e-05,1.245039463043213,325
cool-sweep-83,4.229944170219824e-05,0.208284854888916,613
playful-sweep-82,5.10496502101887e-05,0.6770044565200806,418
peach-sweep-81,1.9799816072918475e-05,0.38198691606521606,749
feasible-sweep-79,5.345363388187252e-05,0.3204147517681122,417
apricot-sweep-80,1.147433249570895e-05,0.588632345199585,367
northern-sweep-78,4.0807208279147744e-05,1.0988081693649292,829
good-sweep-77,1.323236574535258e-05,1.1751686334609983,415
jolly-sweep-76,0.02142578177154064,0.25291845202445984,500
treasured-sweep-75,3.8159050745889544e-05,0.16302073001861572,833
dandy-sweep-74,0.001098281587474048,0.3823987245559693,666
eager-sweep-73,0.02117854729294777,0.7576215863227844,501
sage-sweep-72,6.498012226074934e-05,0.5942348837852478,901
glowing-sweep-71,4.150603854213841e-05,0.7394952178001404,621
lucky-sweep-70,0.1409262716770172,7.256871700286865,499
wild-sweep-69,0.00152468285523355,0.26879310607910156,930
good-sweep-68,8.274210813397076e-06,0.10892923176288603,322
winter-sweep-67,0.05249585211277008,459.0994567871094,488
super-sweep-66,3.127927993773483e-05,0.17637434601783752,888
northern-sweep-65,3.624924647738226e-05,0.3519980311393738,520
peachy-sweep-64,0.008634455502033234,0.3874163031578064,500
youthful-sweep-63,5.590937507804483e-05,0.3495250642299652,912
worldly-sweep-62,0.00012174058792879804,0.5585857629776001,647
solar-sweep-61,0.00018014237866736948,0.32344093918800354,500
peachy-sweep-60,1.166658512374852e-05,0.6700834631919861,249
azure-sweep-59,3.15901888825465e-05,0.10331598669290544,168
rare-sweep-58,8.794540917733684e-05,0.3207738995552063,261
genial-sweep-57,1.796734068193473e-05,3.3785672187805176,146
sleek-sweep-56,0.0006709123845212162,0.32131701707839966,378
smooth-sweep-55,0.0011590392095968127,0.2928449809551239,295
upbeat-sweep-54,0.00023267084907274693,0.8337457776069641,484
classic-sweep-53,2.5668001399026252e-05,0.3689897060394287,188
vocal-sweep-52,0.0005177340935915709,0.9894304275512696,289
fanciful-sweep-51,2.3033931938698515e-05,0.426669180393219,301
restful-sweep-50,2.7839390895678665e-05,0.12962788343429563,152
logical-sweep-49,7.576178177259862e-05,1.858538031578064,263
firm-sweep-48,4.287757110432722e-05,0.4293224513530731,421
sleek-sweep-47,6.922449392732233e-05,0.2920420169830322,354
absurd-sweep-46,4.456442184164189e-05,0.8827083706855774,68
deep-sweep-45,2.7350584787200205e-05,0.4251078069210053,245
summer-sweep-44,0.0015431223437190056,0.6714855432510376,368
spring-sweep-43,0.001856384566053748,0.308761328458786,289
amber-sweep-42,2.366711851209402e-05,0.4996621310710907,286
eternal-sweep-41,4.165374411968514e-05,0.690220296382904,211
confused-sweep-40,0.001947970362380147,0.743980348110199,295
vivid-sweep-39,5.399946167017333e-05,0.36582162976264954,511
honest-sweep-38,2.1110368834342808e-05,0.5972264409065247,202
efficient-sweep-37,0.0006487726350314915,0.6425159573554993,277
lyric-sweep-36,0.00022214351338334384,0.22909760475158691,528
glorious-sweep-35,3.128753451164812e-05,0.35900330543518066,308
legendary-sweep-34,5.3875879530096427e-05,0.24202457070350647,255
devout-sweep-33,0.020574482157826424,0.4215106070041657,540
flowing-sweep-32,2.881638465623837e-05,0.6514165997505188,169
fiery-sweep-31,7.912995351944119e-05,1.4070497751235962,267
gentle-sweep-30,0.004491744097322226,0.289865642786026,126
effortless-sweep-29,0.005811166018247604,0.25492095947265625,100
fragrant-sweep-28,0.006335907150059938,0.5886817574501038,87
deep-sweep-27,0.006917730439454317,0.2541041374206543,117
ruby-sweep-26,0.01193517167121172,0.3896452784538269,103
morning-sweep-25,0.012721268460154532,0.28069183230400085,88
gallant-sweep-24,0.009176835417747498,0.2259741574525833,118
balmy-sweep-23,0.003751632058992982,0.24573937058448792,99
exalted-sweep-22,0.025919796898961067,0.7774978876113892,88
devout-sweep-21,0.004735797178000212,1.8295801877975464,123
splendid-sweep-20,0.007206780835986137,0.4535379409790039,102
stellar-sweep-18,0.020569832995533943,0.5405553579330444,126
daily-sweep-19,0.006394331343472004,0.6846782565116882,90
hopeful-sweep-17,0.005251186434179544,0.4066596925258637,103
dulcet-sweep-16,0.007167902775108814,0.26174426078796387,88
major-sweep-15,0.0064423358999192715,0.5923815965652466,121
twilight-sweep-14,0.01523859053850174,0.2922753393650055,103
amber-sweep-13,0.004254918545484543,0.4476388990879059,87
worthy-sweep-12,0.01169818453490734,0.2681765854358673,119
balmy-sweep-11,0.006272402126342058,0.406461238861084,103
feasible-sweep-10,0.006510666571557522,0.4461157023906708,85
proud-sweep-9,0.006098531186580658,0.5157780647277832,126
scarlet-sweep-8,0.5595600605010986,0.5247449278831482,102
spring-sweep-7,0.005592138506472111,0.5305988192558289,90
ancient-sweep-5,0.006283334922045469,0.4519130885601044,94
classic-sweep-6,0.0135924955829978,0.3871646821498871,122
iconic-sweep-4,0.010731025598943232,0.2972446382045746,88
golden-sweep-3,0.007071495056152344,0.21807722747325897,121
bumbling-sweep-2,0.007182081695646048,0.10209577530622482,102
cerulean-sweep-1,0.00579809257760644,0.766115128993988,88
