Run,Validation Loss,Extrapolation Validation Loss,Parameter
stellar-sweep-90,0.01173729170113802,0.2384452372789383,952
eager-sweep-89,9.239175415132196e-05,0.7011466026306152,644
eager-sweep-88,1.3241683518572245e-05,0.09965567290782928,368
azure-sweep-87,9.515872989140917e-06,0.23088209331035617,535
lunar-sweep-86,3.903802280547097e-05,0.4125621020793915,592
volcanic-sweep-85,3.0268456612247977e-05,1.2377387285232544,325
fast-sweep-84,0.00020274035341572016,0.31496208906173706,954
magic-sweep-83,4.66202363895718e-05,0.2015872448682785,614
likely-sweep-82,4.949718277202919e-05,0.6917446851730347,416
effortless-sweep-81,2.0831228539464064e-05,0.38095393776893616,752
snowy-sweep-80,1.1619436008913908e-05,0.5847814083099365,365
fluent-sweep-79,5.332008731784299e-05,0.32257187366485596,419
ruby-sweep-78,4.039615669171326e-05,1.0819321870803833,830
firm-sweep-77,1.3052615031483585e-05,1.1299446821212769,416
hardy-sweep-76,0.1989295482635498,0.7585140466690063,500
scarlet-sweep-75,3.839206328848377e-05,0.16311800479888916,833
hardy-sweep-74,0.0011121591087430716,0.37757471203804016,664
decent-sweep-73,0.17510344088077545,0.6274724006652832,499
fine-sweep-71,4.1558549128239974e-05,0.7395334243774414,622
dashing-sweep-72,6.558321911143139e-05,0.5928270816802979,900
true-sweep-70,0.16485771536827087,0.4752376675605774,499
smart-sweep-69,0.0013239921536296606,0.2590441405773163,928
swept-sweep-68,8.291748599731363e-06,0.1058480739593506,322
scarlet-sweep-67,0.058046143501996994,0.472381204366684,496
sage-sweep-66,3.119431858067401e-05,0.1657845824956894,888
legendary-sweep-65,3.650707003544085e-05,0.34456726908683777,519
playful-sweep-64,0.26498791575431824,0.8324308395385742,502
deft-sweep-63,5.572230656980537e-05,0.3502218723297119,912
chocolate-sweep-62,0.0001218664983753115,0.5592800378799438,646
worthy-sweep-61,0.00017961890262085944,0.3223332464694977,500
fluent-sweep-60,1.1878470104420558e-05,0.6735154986381531,251
elated-sweep-59,3.1999225029721856e-05,0.10389578342437744,169
northern-sweep-58,8.798762428341433e-05,0.30678901076316833,265
faithful-sweep-57,1.8118897060048766e-05,3.387474536895752,148
fine-sweep-56,0.0006671473383903503,0.3204605281352997,379
sandy-sweep-55,0.0011871304595842955,0.30358582735061646,297
woven-sweep-54,0.0002625125925987959,0.906692922115326,481
glamorous-sweep-53,2.63764140981948e-05,0.36719441413879395,191
tough-sweep-52,0.0005659593152813613,0.9908573031425476,292
hopeful-sweep-51,2.3324826543102972e-05,0.4414345920085907,298
light-sweep-50,2.8137535991845652e-05,0.1291096657514572,154
glad-sweep-49,7.495474710594863e-05,1.8336725234985352,263
sweepy-sweep-48,4.281099245417863e-05,0.4275665283203125,423
brisk-sweep-47,6.89348453306593e-05,0.2918992340564728,354
solar-sweep-46,4.567926225718111e-05,0.8836726546287537,69
trim-sweep-45,2.797211527649779e-05,0.41811177134513855,243
classic-sweep-44,0.0025100880302488804,0.29539573192596436,386
serene-sweep-43,0.00205951277166605,0.3716742694377899,292
avid-sweep-42,2.3767046513967216e-05,0.5011144280433655,285
dry-sweep-41,4.155767601332627e-05,0.6943438649177551,211
eternal-sweep-40,0.001800248748622835,0.7692419290542603,297
likely-sweep-39,2.2018355593900196e-05,0.20741453766822815,442
fancy-sweep-38,2.103862243529875e-05,0.6068159341812134,202
sweet-sweep-37,0.0006479457952082157,0.6414607167243958,277
dazzling-sweep-36,0.0002185612975154072,0.2303287535905838,527
lucky-sweep-35,3.1046278309077024e-05,0.3577180802822113,308
sweet-sweep-34,5.558307748287916e-05,0.2384050190448761,257
honest-sweep-33,0.16397054493427277,0.5260846018791199,532
rich-sweep-32,2.9006338081671856e-05,0.624175488948822,168
usual-sweep-31,7.947478297865018e-05,1.4116790294647217,267
summer-sweep-30,0.004479850176721811,0.29486116766929626,126
breezy-sweep-29,0.006655542645603418,0.2192241996526718,104
earnest-sweep-27,0.004444659221917391,0.3177453577518463,117
radiant-sweep-28,0.006336983758956194,0.5887613296508789,87
deep-sweep-26,0.00826483964920044,0.3724863827228546,103
unique-sweep-25,0.006044487934559584,0.254792183637619,88
absurd-sweep-24,0.006484790239483118,0.2736213803291321,124
absurd-sweep-23,0.003644049633294344,0.21320898830890656,100
playful-sweep-22,0.006389101501554251,0.5256627798080444,88
worthy-sweep-21,0.004535525105893612,0.7970407009124756,122
still-sweep-20,0.03139574080705643,0.23672008514404297,103
atomic-sweep-19,0.00656220642849803,0.6513075828552246,86
copper-sweep-18,0.010913876816630363,0.54803067445755,124
young-sweep-17,0.005251347087323666,0.4063487946987152,103
dandy-sweep-16,0.007411274127662182,0.2501671314239502,90
fluent-sweep-15,0.00644427165389061,0.5936141014099121,120
earthy-sweep-14,0.00764023931697011,0.17557233572006226,103
fresh-sweep-13,0.0042478833347558975,0.4462288022041321,87
likely-sweep-12,0.004195272456854582,0.24461479485034943,114
snowy-sweep-11,0.006253316532820463,0.40551328659057617,104
summer-sweep-9,0.006098444573581219,0.5156764984130859,126
ethereal-sweep-8,0.009409261867403984,0.7742184996604919,104
true-sweep-10,0.3928929567337036,0.700218141078949,90
peachy-sweep-6,0.012182283215224745,0.4012043178081513,120
honest-sweep-7,0.005335473455488682,0.5331695079803467,85
misunderstood-sweep-5,0.00643058679997921,0.5752628445625305,95
golden-sweep-3,0.005112770479172468,0.6284423470497131,106
dauntless-sweep-4,0.007420409005135298,0.13677726686000824,87
vibrant-sweep-2,0.006909879855811596,0.09003821760416031,101
dry-sweep-1,0.00580940954387188,0.7692344784736633,88
