Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
helpful-sweep-88,1.3201525689510165e-05,0.09940005838871,369,5.382154033114311e-06
good-sweep-68,8.274210813397076e-06,0.108929231762886,322,1.1359612233652041e-05
azure-sweep-59,3.15901888825465e-05,0.1033159866929054,168,2.6079439262433138e-05
restful-sweep-50,2.7839390895678665e-05,0.1296278834342956,152,5.139002982967334e-05
treasured-sweep-75,3.815905074588954e-05,0.1630207300186157,833,9.698701976618611e-05
super-sweep-66,3.127927993773483e-05,0.1763743460178375,888,0.00010538587975382076
cool-sweep-83,4.229944170219824e-05,0.208284854888916,613,0.0001499940708355777
astral-sweep-87,7.178326086432207e-06,0.2438687086105346,528,0.00015737323787217835
legendary-sweep-34,5.3875879530096427e-05,0.2420245707035064,255,0.00019709193375853578
sleek-sweep-47,6.922449392732233e-05,0.2920420169830322,354,0.00026529223307156984
feasible-sweep-79,5.345363388187252e-05,0.3204147517681122,417,0.0002821069710118877
northern-sweep-65,3.624924647738226e-05,0.3519980311393738,520,0.0003011380758868389
glorious-sweep-35,3.128753451164812e-05,0.3590033054351806,308,0.00030433545279817545
classic-sweep-53,2.566800139902625e-05,0.3689897060394287,188,0.00031019243395606286
rare-sweep-58,8.794540917733684e-05,0.3207738995552063,261,0.0003133190355485582
youthful-sweep-63,5.590937507804483e-05,0.3495250642299652,912,0.00031601192523019025
peach-sweep-81,1.9799816072918475e-05,0.381986916065216,749,0.00031910697522827925
vivid-sweep-39,5.399946167017333e-05,0.3658216297626495,511,0.000332057530617834
lyric-sweep-36,0.0002221435133833,0.2290976047515869,528,0.0003333692823843104
fanciful-sweep-51,2.3033931938698515e-05,0.426669180393219,301,0.00037067037059374566
dark-sweep-86,3.863155870931223e-05,0.4157273471355438,586,0.00037268874430735276
deep-sweep-45,2.7350584787200205e-05,0.4251078069210053,245,0.00037282676228153416
firm-sweep-48,4.287757110432722e-05,0.4293224513530731,421,0.000391292336003545
solar-sweep-61,0.0001801423786673,0.3234409391880035,500,0.0003986088076986643
good-sweep-84,0.0001999476226046,0.3132508397102356,955,0.0004052058663854413
amber-sweep-42,2.366711851209402e-05,0.4996621310710907,286,0.0004507491758352227
apricot-sweep-80,1.147433249570895e-05,0.588632345199585,367,0.0005367714934265624
honest-sweep-38,2.1110368834342808e-05,0.5972264409065247,202,0.0005547437309914097
sage-sweep-72,6.498012226074934e-05,0.5942348837852478,901,0.0005906856760995872
worldly-sweep-62,0.0001217405879287,0.5585857629776001,647,0.000602571698857817
