Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
earnest-sweep-13,2.4736303672057147e-08,1.4859006469691849e-08,10,0.0
ruby-sweep-25,2.515384878165605e-08,8.17121161844625e-08,10,1.211121590745816e-07
crisp-sweep-9,2.5475854315004653e-08,1.5344070902756357e-08,12,1.459755773154412e-07
sunny-sweep-16,2.6834889865767764e-08,1.6200401020682875e-08,9,4.142072884310015e-07
helpful-sweep-12,2.64770481095411e-08,2.39824430536828e-07,13,4.736800576639042e-07
peachy-sweep-18,2.738825521930721e-08,1.6268854707846003e-08,13,5.232616825901244e-07
peach-sweep-5,2.718779867905141e-08,5.620320848720439e-07,13,8.00964754427281e-07
super-sweep-29,4.0634265729977415e-08,1.3355672479065106e-07,12,3.2009317372839813e-06
revived-sweep-6,5.891016385817238e-08,3.029870640602894e-06,24,8.484654148081142e-06
sunny-sweep-2,8.3160706765284e-08,3.980732344643911e-06,23,1.3814716616858102e-05
silvery-sweep-10,4.599229797008776e-08,1.9064264051849023e-05,25,1.5258868722461326e-05
grateful-sweep-24,7.765027731920784e-08,9.278189281758388e-06,22,1.580798901003244e-05
comfy-sweep-20,6.32302459280254e-08,0.0001619604299776,25,0.00010170500314112782
glowing-sweep-19,1.862159848542433e-07,0.0001384011848131,34,0.00011224109584494671
genial-sweep-8,6.56973384138837e-07,3.8538448279723525e-05,15,0.00014694220124258347
denim-sweep-7,1.3442240742733702e-06,8.027975127333775e-05,19,0.00030659235781678386
avid-sweep-28,5.891418197734311e-08,0.0006863661110401,27,0.00040563547672424727
bright-sweep-1,1.8428323755870224e-06,0.0001216099408338,12,0.0004288404703896898
quiet-sweep-4,2.363028443141957e-06,0.0001546997373225,11,0.0005505521804304326
curious-sweep-17,2.524531737435609e-06,0.0001672626531217,9,0.0005896702814001671
super-sweep-15,2.5350082069053315e-06,0.0001814525312511,26,0.0005999812303434001
fragrant-sweep-22,5.596124310613959e-07,0.001830336288549,37,0.0011691416211437693
apricot-sweep-11,1.1733787914636196e-06,0.0032530133612453,43,0.002116904928980272
still-sweep-26,6.265660204007872e-07,0.005285873543471,34,0.0031906646851167357
vibrant-sweep-30,9.90183593785332e-07,0.0128309009596705,40,0.007647413237425452
northern-sweep-50,2.659235633473145e-06,0.0203956961631774,17,0.012372825129631103
worthy-sweep-57,2.7285066153126536e-06,0.0205086003988981,62,0.012452090834700908
wise-sweep-34,1.1390603731342708e-06,0.0228644199669361,191,0.013508150352666065
vital-sweep-41,3.955654847231926e-06,0.0229756869375705,171,0.014127695335232098
wild-sweep-32,2.9350180739129428e-06,0.0233596619218587,87,0.014149790331609933
charmed-sweep-89,7.18663795851171e-06,0.0303940866142511,477,0.019075728251994162
lunar-sweep-3,4.744361376651796e-06,0.0318263880908489,9,0.019427035705409015
leafy-sweep-52,3.13141231345071e-06,0.0341857299208641,70,0.02048051221113187
curious-sweep-78,3.24695815834275e-06,0.0346119590103626,642,0.020750996317033227
vital-sweep-39,2.785672677418916e-06,0.0390080548822879,211,0.02321510052087189
sparkling-sweep-44,2.8864951673313044e-06,0.0466359630227088,313,0.027668247336853365
likely-sweep-38,4.420812274474884e-06,0.0495727472007274,244,0.02967734984997009
giddy-sweep-63,3.249512246839004e-06,0.0597149133682251,672,0.03534115317005809
upbeat-sweep-35,4.303937203076202e-06,0.0619261860847473,229,0.03683405355037196
denim-sweep-53,3.3622366117924685e-06,0.0669900402426719,289,0.03959161079594525
sweet-sweep-42,1.3267232361613424e-06,0.0713744983077049,118,0.04173882364565892
driven-sweep-80,1.4512579582515173e-06,0.0729981958866119,404,0.042707038525189686
electric-sweep-73,3.1315476007875982e-06,0.0756598114967346,271,0.044584972097512096
denim-sweep-86,2.2662870833300985e-06,0.0800501629710197,521,0.04696615342380299
wandering-sweep-48,3.0511152999679325e-06,0.081277422606945,101,0.04783404123597888
warm-sweep-46,1.799670462787617e-05,0.0773661062121391,231,0.048505137969603304
misty-sweep-64,4.926511337544071e-06,0.0832307934761047,309,0.04933878467493927
gallant-sweep-69,2.847142241080292e-06,0.0878390297293663,346,0.051607416066340485
solar-sweep-84,3.481334942989633e-06,0.0886813327670097,841,0.05222189427438702
distinctive-sweep-87,2.2506849290948594e-06,0.0910103693604469,578,0.053333071640082656
good-sweep-76,3.635416533143143e-06,0.0922966599464416,340,0.054353450548734
fragrant-sweep-75,2.085490677927737e-06,0.0961589962244033,642,0.05629287220604364
wise-sweep-55,2.966179818031378e-05,0.1052428483963012,262,0.06700495477151387
vivid-sweep-90,2.750235580606386e-06,0.1154175922274589,718,0.06761678422422128
dandy-sweep-36,2.7413850602897583e-06,0.1263966113328933,226,0.07399596634544056
electric-sweep-81,3.3518599593662657e-06,0.1280408352613449,752,0.07507184263978763
frosty-sweep-67,2.3125294319470413e-06,0.1463388502597808,355,0.08550176410150309
earnest-sweep-14,0.0002916671801358,0.0590296052396297,7,0.0917619896976686
vivid-sweep-27,0.000291673495667,0.059028286486864,7,0.09176246742649845
super-sweep-21,0.000291705771815,0.0590272434055805,8,0.09176821969178127
colorful-sweep-23,0.0002917103120125,0.0590274706482887,8,0.09176924619590318
toasty-sweep-43,9.805974059418077e-07,0.1595858335494995,180,0.0929384194734254
northern-sweep-79,3.7539932691288418e-06,0.1593815386295318,351,0.09336605193645935
copper-sweep-31,3.327554168208735e-06,0.1599326729774475,106,0.0936023574306573
decent-sweep-70,0.0001808951928978,0.10118518024683,488,0.09444009321197991
fast-sweep-47,2.6006273401435465e-06,0.1706490367650985,224,0.09968742304599952
earthy-sweep-65,2.6605266612023115e-06,0.1719695478677749,485,0.10046669479544426
frosty-sweep-66,1.483125834056409e-05,0.1731992214918136,906,0.10357904221779662
apricot-sweep-51,6.803508586017415e-05,0.169856309890747,515,0.11211747760988047
distinctive-sweep-62,1.0004318937717471e-06,0.2104298174381256,539,0.122492478935421
hopeful-sweep-54,0.0003158724575769,0.1045112609863281,517,0.12296410692601761
crimson-sweep-61,6.8053345785301644e-06,0.2093513309955597,419,0.12300925347108822
eternal-sweep-33,1.1422996522014728e-06,0.227989599108696,381,0.13272604413170117
trim-sweep-59,3.052148258575471e-06,0.2422805875539779,106,0.14140810803465606
decent-sweep-71,5.029976819059812e-06,0.2418335527181625,491,0.14153793272300486
mild-sweep-72,2.640748562043882e-06,0.2580465972423553,664,0.15049015073572744
confused-sweep-45,2.114031531164074e-06,0.2750524580478668,361,0.16027006799315285
rich-sweep-83,8.231943866121583e-06,0.2735567092895508,577,0.16060599654487073
devout-sweep-77,3.658381501736585e-06,0.2892227470874786,513,0.16880997797227484
blooming-sweep-37,1.2522773431555834e-05,0.2885868847370147,244,0.17018673081629598
super-sweep-88,0.0002128774794982,0.250735193490982,482,0.18765807335392345
lucky-sweep-68,3.484506351014716e-06,0.3366799354553222,545,0.19635749524785323
decent-sweep-58,2.714067704800982e-06,0.3392433226108551,170,0.19769553844722562
ethereal-sweep-40,2.4368608137592677e-05,0.3981970846652984,240,0.23622504271894257
colorful-sweep-56,2.626972445796127e-06,0.4147115647792816,304,0.24153997145966644
desert-sweep-49,0.0001683180744294,0.4393857419490814,275,0.28852205954886545
fine-sweep-60,2.465769739501411e-06,0.688815712928772,377,0.40081554256216306
restful-sweep-82,6.105040938564343e-06,0.7012936472892761,387,0.40878457403556234
lively-sweep-85,3.886240665451624e-05,0.8602998852729797,459,0.5076511357917488
sage-sweep-74,0.0025380577426403,0.1510541886091232,656,0.587791582298757
