Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
ancient-sweep-50,9.997063443734078e-07,0.0001996523496927,37,3.449600857811714e-07
misty-sweep-35,1.5254665868269512e-06,0.0011426544515416,44,0.00012060296656276449
worthy-sweep-51,1.1284863603577833e-06,0.0052210921421647,75,0.0006388898385929423
copper-sweep-57,1.1453001889094594e-06,0.0090985391288995,57,0.0011319039556946806
splendid-sweep-89,8.037251291170833e-07,0.0167770907282829,99,0.002107969440320941
legendary-sweep-39,2.423007344987127e-06,0.0181006081402301,107,0.0022773549410955276
celestial-sweep-3,4.731190529128071e-06,0.0322373174130916,36,0.004076359296589529
wandering-sweep-6,4.863453341386048e-06,0.0323743522167205,37,0.00409387303114314
fast-sweep-73,2.274484586450854e-06,0.0411966405808925,191,0.00521382626353243
honest-sweep-14,6.290973487921292e-06,0.0449541099369525,68,0.0056943157914285175
happy-sweep-74,2.3524082735093543e-06,0.0481110922992229,180,0.006093025696517237
spring-sweep-33,7.687056609029241e-07,0.0515842847526073,45,0.006533547901535659
visionary-sweep-48,2.3581308141729096e-06,0.0548924319446086,100,0.006955251152312306
stellar-sweep-47,4.94331800382497e-07,0.0655459687113761,57,0.008308535644277405
grateful-sweep-41,2.049887143584783e-06,0.069722905755043,77,0.008840679102139285
radiant-sweep-75,1.4657731298939323e-05,0.0715722814202308,850,0.009084426086089524
atomic-sweep-21,9.68113999988418e-06,0.0890929400920867,120,0.011308714276693319
splendid-sweep-11,0.0003950616228394,0.1116906180977821,65,0.014444977283196055
copper-sweep-15,0.0002924455038737,0.122873269021511,144,0.01579676480476289
glowing-sweep-69,1.8060134152619869e-06,0.1257355660200119,178,0.015962309401128087
wobbly-sweep-49,2.1848097730980957e-06,0.136711835861206,94,0.017358158933841506
fallen-sweep-54,2.012315690080868e-06,0.1504082530736923,286,0.01909948855988418
morning-sweep-40,4.06749359171954e-06,0.175600066781044,174,0.022303934709782713
gentle-sweep-2,0.0003656963817775,0.1810882240533828,115,0.02324857477908377
autumn-sweep-44,5.591784884018125e-06,0.1848096698522567,182,0.023475941175889768
fresh-sweep-84,9.83147128863493e-06,0.1865325570106506,724,0.0236978936647329
cosmic-sweep-55,6.570641289727064e-06,0.2009114325046539,97,0.025523887220528153
different-sweep-83,2.3301245164475404e-05,0.2023372203111648,610,0.025716590744758773
feasible-sweep-68,2.300175538039184e-06,0.2095475643873214,164,0.026619023602849946
leafy-sweep-45,1.755290213623084e-06,0.2114317268133163,80,0.026858215761263456
brisk-sweep-52,0.0001418722968082,0.2180152982473373,305,0.027790933325326433
pleasant-sweep-86,2.0971158392057987e-06,0.2320243120193481,203,0.029476717990726046
happy-sweep-30,0.000322764593875,0.2315700501203537,105,0.02963784249528733
efficient-sweep-36,3.095370630035177e-06,0.2411649525165558,202,0.03063959706419315
smart-sweep-78,0.0001382473128614,0.2497535496950149,977,0.031823856958837486
electric-sweep-23,0.0011952437926083,0.2450136244297027,115,0.03194268134124889
pleasant-sweep-90,1.1491396435303614e-05,0.2740702331066131,845,0.03482910935271716
fast-sweep-10,0.0011724046198651,0.2750531136989593,32,0.03574649854422075
exalted-sweep-59,0.0005998517735861,0.292847603559494,402,0.037618185411289695
mild-sweep-31,0.0003401667636353,0.3183256685733795,311,0.04068036791674038
zany-sweep-61,0.000136279297294,0.3267914950847626,497,0.04161759544227978
expert-sweep-87,1.8307429854758084e-05,0.3349021077156067,856,0.04256830340314576
confused-sweep-65,3.077831934206188e-05,0.3397514522075653,627,0.04319339153302662
balmy-sweep-71,8.56192855280824e-06,0.3669206798076629,614,0.04663269097940247
clear-sweep-16,0.0063017150387167,0.3483056724071502,101,0.048561463068999056
cool-sweep-9,0.0005571178626269,0.3997112214565277,124,0.05117631863286154
snowy-sweep-77,0.0004660180420614,0.408075898885727,687,0.05217767236983502
balmy-sweep-18,0.001231838716194,0.4053316116333008,145,0.052351482874462306
major-sweep-12,0.0015258815838024,0.4066088199615478,144,0.052714583727289245
divine-sweep-28,0.00199656188488,0.4102016389369964,106,0.053492675382676935
deep-sweep-67,8.231000720115844e-06,0.4213801324367523,368,0.053556777411948614
volcanic-sweep-27,0.0005070347106084,0.4197719991207123,136,0.053692784321736346
spring-sweep-4,0.0011771357385441,0.4164335429668426,93,0.05372571190408635
helpful-sweep-5,0.0008444842533208,0.4278442561626434,115,0.05494947843981944
stellar-sweep-24,0.0020710306707769,0.4251173138618469,145,0.055439977861381384
quiet-sweep-80,0.0002123918675351,0.4361894726753235,685,0.05557908545274641
worldly-sweep-17,0.0007637834642082,0.4371282756328583,120,0.05607482122384779
wise-sweep-26,0.0041301874443888,0.4280838072299957,121,0.05722270167565461
dazzling-sweep-22,0.0033836485818028,0.4350387752056122,103,0.057597424651038155
pretty-sweep-13,0.0032086793798953,0.4399410784244537,102,0.058101302856783194
flowing-sweep-76,0.0050733643583953,0.4320410192012787,521,0.05836964268293855
robust-sweep-46,7.005086899880553e-06,0.4928515553474426,194,0.06264326027508553
splendid-sweep-1,0.0050086947157979,0.4677834212779999,105,0.0628700107951862
prime-sweep-20,0.0039055116940289,0.4799369871616363,119,0.063662276477189
youthful-sweep-81,7.376809662673622e-05,0.5510220527648926,944,0.07008498912408784
