Run,Validation Loss,Extrapolation Validation Loss,Parameter
still-sweep-19,2.0238483102730243e-06,0.025596855208277702,311
rich-sweep-20,2.2607025584875373e-06,0.03202156350016594,351
misunderstood-sweep-16,4.3737043597502634e-05,0.1554991900920868,66
zany-sweep-17,1.7875383946375225e-06,0.01323269959539175,139
celestial-sweep-18,1.1420038390497211e-06,0.008474187925457954,194
radiant-sweep-15,1.0753471997304589e-06,0.0059692650102078915,304
deep-sweep-14,9.186376814795948e-07,0.002907617250457406,225
hearty-sweep-13,1.092902152777242e-06,0.0002032984048128128,41
still-sweep-12,1.6889732705749338e-06,0.0004392302653286606,30
hearty-sweep-11,2.636253157106694e-06,0.0005639323499053717,22
comic-sweep-10,1.1640352113317931e-06,0.004540226887911558,293
ethereal-sweep-9,8.565114626435388e-07,0.0016888700192794204,207
eager-sweep-8,1.0263128160659107e-06,0.00021186601952649653,37
vague-sweep-7,1.3827489055984188e-06,0.0003553147835191339,30
vital-sweep-6,3.2951622870314168e-06,4.830852776649408e-05,27
silvery-sweep-1,2.8552383355417987e-06,9.167661482933907e-05,120
lively-sweep-2,1.100486201721651e-06,0.0005627495120279491,126
kind-sweep-5,2.1490725430339808e-06,0.12169525772333144,323
zesty-sweep-4,2.7121263883600477e-06,0.04708056524395943,263
elated-sweep-3,1.7353413568343967e-06,0.0005166482296772301,204
