Step,still-sweep-19,rich-sweep-20,misunderstood-sweep-16,zany-sweep-17,celestial-sweep-18,radiant-sweep-15,deep-sweep-14,hearty-sweep-13,still-sweep-12,hearty-sweep-11,comic-sweep-10,ethereal-sweep-9,eager-sweep-8,vague-sweep-7,vital-sweep-6,silvery-sweep-1,lively-sweep-2,kind-sweep-5,zesty-sweep-4,elated-sweep-3
0,1.005367398262024,1.005367398262024,1.005367398262024,1.005367398262024,1.005367398262024,0.6781589984893799,0.6781589984893799,0.6781589984893799,0.6781589984893799,0.6781589984893799,0.29658040404319763,0.29658040404319763,0.29658040404319763,0.29658040404319763,0.29658040404319763,0.038797713816165924,0.038797713816165924,0.038797713816165924,0.038797713816165924,0.038797713816165924
1,0.928494393825531,0.928494393825531,0.928494393825531,0.928494393825531,0.928494393825531,0.26859456300735474,0.26859456300735474,0.26859456300735474,0.26859456300735474,0.26859456300735474,0.05118279904127121,0.05118279904127121,0.05118279904127121,0.05118279904127121,0.05118279904127121,0.030891934409737587,0.030891934409737587,0.030891934409737587,0.030891934409737587,0.030891934409737587
2,0.8436289429664612,0.8436289429664612,0.8436289429664612,0.8436289429664612,0.8436289429664612,0.07663558423519135,0.07663558423519135,0.07663558423519135,0.07663558423519135,0.07663558423519135,0.04047584906220436,0.04047584906220436,0.04047584906220436,0.04047584906220436,0.04047584906220436,0.016803942620754242,0.016803942620754242,0.016803942620754242,0.016803942620754242,0.016803942620754242
3,0.7523583173751831,0.7523583173751831,0.7523583173751831,0.7523583173751831,0.7523583173751831,0.05078599229454994,0.05078599229454994,0.05078599229454994,0.05078599229454994,0.05078599229454994,0.03625963628292084,0.03625963628292084,0.03625963628292084,0.03625963628292084,0.03625963628292084,0.00742357550188899,0.00742357550188899,0.00742357550188899,0.00742357550188899,0.00742357550188899
4,0.6571136713027954,0.6571136713027954,0.6571136713027954,0.6571136713027954,0.6571136713027954,0.04371089115738869,0.04371089115738869,0.04371089115738869,0.04371089115738869,0.04371089115738869,0.03384989872574806,0.03384989872574806,0.03384989872574806,0.03384989872574806,0.03384989872574806,0.005722988862544298,0.005722988862544298,0.005722988862544298,0.005722988862544298,0.005722988862544298
5,0.5608435869216919,0.5608435869216919,0.5608435869216919,0.5608435869216919,0.5608435869216919,0.03987489268183708,0.03987489268183708,0.03987489268183708,0.03987489268183708,0.03987489268183708,0.032437752932310104,0.032437752932310104,0.032437752932310104,0.032437752932310104,0.032437752932310104,0.0030171603430062532,0.0030171603430062532,0.0030171603430062532,0.0030171603430062532,0.0030171603430062532
6,0.46691471338272095,0.46691471338272095,0.46691471338272095,0.46691471338272095,0.46691471338272095,0.03737563267350197,0.03737563267350197,0.03737563267350197,0.03737563267350197,0.03737563267350197,0.03146221116185188,0.03146221116185188,0.03146221116185188,0.03146221116185188,0.03146221116185188,0.0011469105957075953,0.0011469105957075953,0.0011469105957075953,0.0011469105957075953,0.0011469105957075953
7,0.37884625792503357,0.37884625792503357,0.37884625792503357,0.37884625792503357,0.37884625792503357,0.035607703030109406,0.035607703030109406,0.035607703030109406,0.035607703030109406,0.035607703030109406,0.030536949634552002,0.030536949634552002,0.030536949634552002,0.030536949634552002,0.030536949634552002,0.000708221981767565,0.000708221981767565,0.000708221981767565,0.000708221981767565,0.000708221981767565
8,0.2999636232852936,0.2999636232852936,0.2999636232852936,0.2999636232852936,0.2999636232852936,0.034319497644901276,0.034319497644901276,0.034319497644901276,0.034319497644901276,0.034319497644901276,0.029314547777175903,0.029314547777175903,0.029314547777175903,0.029314547777175903,0.029314547777175903,0.0005337799084372818,0.0005337799084372818,0.0005337799084372818,0.0005337799084372818,0.0005337799084372818
9,0.2328718602657318,0.2328718602657318,0.2328718602657318,0.2328718602657318,0.2328718602657318,0.033372506499290466,0.033372506499290466,0.033372506499290466,0.033372506499290466,0.033372506499290466,0.026894818991422653,0.026894818991422653,0.026894818991422653,0.026894818991422653,0.026894818991422653,0.0004458385519683361,0.0004458385519683361,0.0004458385519683361,0.0004458385519683361,0.0004458385519683361
