Step,dainty-sweep-20,easy-sweep-19,misunderstood-sweep-17,cerulean-sweep-18,iconic-sweep-16,lively-sweep-15,smooth-sweep-13,good-sweep-14,denim-sweep-12,helpful-sweep-11,still-sweep-10,crimson-sweep-9,blooming-sweep-8,upbeat-sweep-7,ethereal-sweep-4,earthy-sweep-6,proud-sweep-2,eager-sweep-5,splendid-sweep-3,vivid-sweep-1
0,1.2708539962768555,1.2708539962768555,1.2708539962768555,1.2708539962768555,1.2708539962768555,1.0831801891326904,1.0831801891326904,1.0831801891326904,1.0831801891326904,1.0831801891326904,0.8615195155143738,0.8615195155143738,0.8615195155143738,0.8615195155143738,0.15905843675136566,0.8615195155143738,0.15905843675136566,0.15905843675136566,0.15905843675136566,0.15905843675136566
1,1.225144386291504,1.225144386291504,1.225144386291504,1.225144386291504,1.225144386291504,0.8569005131721497,0.8569005131721497,0.8569005131721497,0.8569005131721497,0.8569005131721497,0.47055837512016296,0.47055837512016296,0.47055837512016296,0.47055837512016296,0.1310303658246994,0.47055837512016296,0.1310303658246994,0.1310303658246994,0.1310303658246994,0.1310303658246994
2,1.178636908531189,1.178636908531189,1.178636908531189,1.178636908531189,1.178636908531189,0.6414360404014587,0.6414360404014587,0.6414360404014587,0.6414360404014587,0.6414360404014587,0.23705366253852844,0.23705366253852844,0.23705366253852844,0.23705366253852844,0.12484344094991684,0.23705366253852844,0.12484344094991684,0.12484344094991684,0.12484344094991684,0.12484344094991684
3,1.1314420700073242,1.1314420700073242,1.1314420700073242,1.1314420700073242,1.1314420700073242,0.4579353928565979,0.4579353928565979,0.4579353928565979,0.4579353928565979,0.4579353928565979,0.16875289380550385,0.16875289380550385,0.16875289380550385,0.16875289380550385,0.118809275329113,0.16875289380550385,0.118809275329113,0.118809275329113,0.118809275329113,0.118809275329113
4,1.0837571620941162,1.0837571620941162,1.0837571620941162,1.0837571620941162,1.0837571620941162,0.322018027305603,0.322018027305603,0.322018027305603,0.322018027305603,0.322018027305603,0.1561078578233719,0.1561078578233719,0.1561078578233719,0.1561078578233719,0.10681765526533127,0.1561078578233719,0.10681765526533127,0.10681765526533127,0.10681765526533127,0.10681765526533127
5,1.0358084440231323,1.0358084440231323,1.0358084440231323,1.0358084440231323,1.0358084440231323,0.23630645871162415,0.23630645871162415,0.23630645871162415,0.23630645871162415,0.23630645871162415,0.14839856326580048,0.14839856326580048,0.14839856326580048,0.14839856326580048,0.0763525515794754,0.14839856326580048,0.0763525515794754,0.0763525515794754,0.0763525515794754,0.0763525515794754
6,0.9878178238868713,0.9878178238868713,0.9878178238868713,0.9878178238868713,0.9878178238868713,0.1914556920528412,0.1914556920528412,0.1914556920528412,0.1914556920528412,0.1914556920528412,0.1452600061893463,0.1452600061893463,0.1452600061893463,0.1452600061893463,0.025467591360211372,0.1452600061893463,0.025467591360211372,0.025467591360211372,0.025467591360211372,0.025467591360211372
7,0.9399951100349426,0.9399951100349426,0.9399951100349426,0.9399951100349426,0.9399951100349426,0.17857219278812408,0.17857219278812408,0.17857219278812408,0.17857219278812408,0.17857219278812408,0.14288227260112762,0.14288227260112762,0.14288227260112762,0.14288227260112762,0.010626641102135181,0.14288227260112762,0.010626641102135181,0.010626641102135181,0.010626641102135181,0.010626641102135181
8,0.8925519585609436,0.8925519585609436,0.8925519585609436,0.8925519585609436,0.8925519585609436,0.16556596755981445,0.16556596755981445,0.16556596755981445,0.16556596755981445,0.16556596755981445,0.14073975384235382,0.14073975384235382,0.14073975384235382,0.14073975384235382,0.009980374947190285,0.14073975384235382,0.009980374947190285,0.009980374947190285,0.009980374947190285,0.009980374947190285
9,0.8457064032554626,0.8457064032554626,0.8457064032554626,0.8457064032554626,0.8457064032554626,0.1581532210111618,0.1581532210111618,0.1581532210111618,0.1581532210111618,0.1581532210111618,0.13878551125526428,0.13878551125526428,0.13878551125526428,0.13878551125526428,0.009490255266427994,0.13878551125526428,0.009490255266427994,0.009490255266427994,0.009490255266427994,0.009490255266427994
10,0.7996699213981628,0.7996699213981628,0.7996699213981628,0.7996699213981628,0.7996699213981628,0.1538502275943756,0.1538502275943756,0.1538502275943756,0.1538502275943756,0.1538502275943756,0.1370062679052353,0.1370062679052353,0.1370062679052353,0.1370062679052353,0.008911645971238613,0.1370062679052353,0.008911645971238613,0.008911645971238613,0.008911645971238613,0.008911645971238613
11,0.7546349763870239,0.7546349763870239,0.7546349763870239,0.7546349763870239,0.7546349763870239,0.1510937511920929,0.1510937511920929,0.1510937511920929,0.1510937511920929,0.1510937511920929,0.135385200381279,0.135385200381279,0.135385200381279,0.135385200381279,0.00817596260458231,0.135385200381279,0.00817596260458231,0.00817596260458231,0.00817596260458231,0.00817596260458231
12,0.7107855081558228,0.7107855081558228,0.7107855081558228,0.7107855081558228,0.7107855081558228,0.14905866980552673,0.14905866980552673,0.14905866980552673,0.14905866980552673,0.14905866980552673,0.13390138745307922,0.13390138745307922,0.13390138745307922,0.13390138745307922,0.007172797340899706,0.13390138745307922,0.007172797340899706,0.007172797340899706,0.007172797340899706,0.007172797340899706
