Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
playful-sweep-11,1.2982478665435335e-06,0.0003131867852061,23,0.00740477598484691
clean-sweep-12,1.5890093436610186e-06,0.000413162226323,28,0.020234030301758153
driven-sweep-8,9.997063443734078e-07,0.0001996523496927,37,0.023399601982067707
scarlet-sweep-7,1.664119963606936e-06,0.0003928401565644,31,0.026152371541503232
floral-sweep-13,1.01513819572574e-06,0.000193022264284,39,0.026724754457462713
bumbling-sweep-6,2.6650075142242717e-06,3.663229290395975e-05,29,0.04102867829065673
rare-sweep-17,1.55116811129119e-06,0.0108210016041994,139,0.18876364148182947
prime-sweep-2,1.7122115423262585e-06,0.000331248040311,168,0.2358551162692831
sweepy-sweep-18,1.1079519026679918e-06,0.0081579638645052,194,0.26466746075301856
skilled-sweep-9,8.847855497151613e-07,0.0018900085706263,207,0.2804878048780488
hopeful-sweep-14,9.100997431232828e-07,0.0028274327050894,225,0.3083801860164048
woven-sweep-3,4.419478955242084e-06,0.000521583657246,184,0.3087303318554635
earthy-sweep-1,6.7037271946901456e-06,0.0019618941005319,162,0.31610278660877256
exalted-sweep-10,1.170480459222745e-06,0.005275638308376,296,0.42127510155105025
playful-sweep-15,1.0602315114738303e-06,0.0061316476203501,302,0.42844697344996363
pretty-sweep-4,2.587327571745845e-06,0.04393957182765,299,0.4512228591459317
likely-sweep-19,2.0521310943877324e-06,0.0260775070637464,311,0.45993060564344895
sunny-sweep-16,2.308962575625628e-05,0.0662638768553733,68,0.46626830584547446
polished-sweep-20,2.266813226015074e-06,0.0325137265026569,351,0.5247509988972159
magic-sweep-5,2.880340980482288e-05,0.1472712755203247,286,0.9009146341463414
