Run,Validation Loss,Extrapolation Validation Loss,Parameter
polished-sweep-20,2.266813226015074e-06,0.03251372650265694,351
likely-sweep-19,2.0521310943877324e-06,0.026077507063746452,311
sweepy-sweep-18,1.1079519026679918e-06,0.008157963864505291,194
rare-sweep-17,1.55116811129119e-06,0.01082100160419941,139
sunny-sweep-16,2.308962575625628e-05,0.06626387685537338,68
playful-sweep-15,1.0602315114738303e-06,0.0061316476203501225,302
hopeful-sweep-14,9.100997431232828e-07,0.00282743270508945,225
floral-sweep-13,1.01513819572574e-06,0.00019302226428408176,39
clean-sweep-12,1.5890093436610186e-06,0.00041316222632303834,28
playful-sweep-11,1.2982478665435335e-06,0.0003131867852061987,23
scarlet-sweep-7,1.664119963606936e-06,0.000392840156564489,31
skilled-sweep-9,8.847855497151613e-07,0.001890008570626378,207
exalted-sweep-10,1.170480459222745e-06,0.005275638308376074,296
driven-sweep-8,9.997063443734078e-07,0.00019965234969276935,37
bumbling-sweep-6,2.6650075142242713e-06,3.663229290395975e-05,29
magic-sweep-5,2.8803409804822877e-05,0.1472712755203247,286
pretty-sweep-4,2.5873275717458455e-06,0.04393957182765007,299
woven-sweep-3,4.419478955242084e-06,0.000521583657246083,184
prime-sweep-2,1.7122115423262585e-06,0.0003312480403110385,168
earthy-sweep-1,6.7037271946901456e-06,0.0019618941005319357,162
