Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
true-sweep-8,1.5049641532982605e-08,5.8592458884731975e-08,10,0.022388059701492536
toasty-sweep-13,2.5039190276743284e-08,6.84548879803515e-08,10,0.022396592553335006
genial-sweep-7,2.7292132998013585e-08,5.501429996002116e-07,10,0.0223985169672343
glamorous-sweep-4,1.0846427045407837e-07,1.262401383428369e-07,15,0.059781285249571915
bright-sweep-3,2.751021099811624e-08,4.253172036783327e-08,18,0.08210019578195753
swept-sweep-2,2.368975913213945e-07,2.4471029291817104e-07,19,0.08974173642349591
restful-sweep-9,3.1376313103237414e-08,1.236304251506226e-05,20,0.09702887125529208
elated-sweep-5,6.443934097433157e-08,4.257221371517517e-05,24,0.1269078592319102
sandy-sweep-14,2.9474014340280522e-08,8.013887331514981e-09,27,0.1492660523238646
zesty-sweep-10,6.094444415793987e-08,7.677258690819144e-05,35,0.20899442620706674
fluent-sweep-11,0.0002916975063271,0.0590400099754333,7,0.24914871049605417
revived-sweep-6,0.0002916982630267,0.0590374544262886,7,0.2491493568521351
brisk-sweep-12,0.0002916970406658,0.0590381734073162,8,0.25661099930562353
polar-sweep-15,8.769746528969335e-08,2.6901276214630343e-05,44,0.27618145715115305
iconic-sweep-1,0.0002917998936027,0.0599360540509223,29,0.4134152719224892
charmed-sweep-16,0.0004382604674901,0.6288712024688721,69,0.837026121138382
hopeful-sweep-17,0.0004487105470616,0.6414902806282043,74,0.8832657810754341
soft-sweep-18,0.0005665567587129,0.6248459219932556,74,0.9839274115464699
fresh-sweep-20,0.0005851036403328,0.6377159953117371,74,0.9997697480785652
lively-sweep-19,0.0005853732000105,0.6364718079566956,74,1.0
