Run,Validation Loss,Extrapolation Validation Loss,Parameter
radiant-sweep-20,4.884173176833429e-05,0.26763293147087097,484
firm-sweep-19,5.516361852642149e-05,0.2616817057132721,476
crimson-sweep-18,5.592713932855986e-05,0.16811391711235046,422
firm-sweep-17,6.708956061629578e-05,0.1917704790830612,382
serene-sweep-16,0.00010662502609193324,0.4080192744731903,247
resilient-sweep-14,0.07004863768815994,0.650801420211792,505
youthful-sweep-15,0.12420336157083511,0.9756073355674744,506
silver-sweep-13,0.02360907942056656,0.6252396106719971,505
vivid-sweep-12,0.07902099192142487,0.961046040058136,491
earthy-sweep-7,1.3287338333611842e-05,0.06185494735836983,324
classic-sweep-8,1.3201525689510165e-05,0.09940005838871002,369
comfy-sweep-11,0.006799850147217512,0.3725700974464417,500
silver-sweep-9,1.313682514592074e-05,0.09277895838022232,464
graceful-sweep-10,1.3354601833270864e-05,0.08983172476291656,484
genial-sweep-6,1.0131392627954485e-05,0.009349359199404716,171
peach-sweep-3,0.4837912321090698,0.4631953239440918,500
scarlet-sweep-5,0.2080425322055817,0.49667245149612427,506
cool-sweep-4,0.1747000515460968,0.5545633435249329,503
pleasant-sweep-2,0.17656733095645905,0.8436787724494934,500
hearty-sweep-1,0.1819901168346405,0.4865526854991913,499
