Run,Validation Loss,Extrapolation Validation Loss,Parameter,score
genial-sweep-6,1.0131392627954485e-05,0.0093493591994047,171,0.0
serene-sweep-16,0.0001066250260919,0.4080192744731903,247,0.11353256443092292
earthy-sweep-7,1.3287338333611842e-05,0.0618549473583698,324,0.22836147070490878
classic-sweep-8,1.3201525689510165e-05,0.09940005838871,369,0.29552556111984896
firm-sweep-17,6.708956061629578e-05,0.1917704790830612,382,0.3149842408411321
crimson-sweep-18,5.592713932855986e-05,0.1681139171123504,422,0.3746741967338027
silver-sweep-9,1.313682514592074e-05,0.0927789583802223,464,0.4373165390263206
firm-sweep-19,5.516361852642149e-05,0.2616817057132721,476,0.4552704225411212
graceful-sweep-10,1.3354601833270864e-05,0.0898317247629165,484,0.46716751037269016
radiant-sweep-20,4.884173176833429e-05,0.2676329314708709,484,0.4672041872187705
comfy-sweep-11,0.0067998501472175,0.3725700974464417,500,0.4980621221303721
silver-sweep-13,0.0236090794205665,0.6252396106719971,505,0.5228975721730584
vivid-sweep-12,0.0790209919214248,0.961046040058136,491,0.5592716624453502
resilient-sweep-14,0.0700486376881599,0.650801420211792,505,0.5708940298672718
youthful-sweep-15,0.1242033615708351,0.9756073355674744,506,0.6283568436161383
pleasant-sweep-2,0.176567330956459,0.8436787724494934,500,0.6735211061190285
cool-sweep-4,0.1747000515460968,0.5545633435249329,503,0.6760688375745407
hearty-sweep-1,0.1819901168346405,0.4865526854991913,499,0.6776331551258868
scarlet-sweep-5,0.2080425322055817,0.4966724514961242,506,0.7150067463413454
peach-sweep-3,0.4837912321090698,0.4631953239440918,500,0.991044776119403
